geneID pathway
26424 186674_Early_stage_pancreatic_precursor_cells
246086 186674_Early_stage_pancreatic_precursor_cells
11651 210774_Regulation_of_Beta-Cell_Development
11925 210774_Regulation_of_Beta-Cell_Development
15205 210774_Regulation_of_Beta-Cell_Development
15377 210774_Regulation_of_Beta-Cell_Development
15378 210774_Regulation_of_Beta-Cell_Development
15379 210774_Regulation_of_Beta-Cell_Development
15874 210774_Regulation_of_Beta-Cell_Development
16333 210774_Regulation_of_Beta-Cell_Development
18012 210774_Regulation_of_Beta-Cell_Development
18088 210774_Regulation_of_Beta-Cell_Development
18096 210774_Regulation_of_Beta-Cell_Development
18506 210774_Regulation_of_Beta-Cell_Development
18609 210774_Regulation_of_Beta-Cell_Development
18770 210774_Regulation_of_Beta-Cell_Development
19213 210774_Regulation_of_Beta-Cell_Development
20526 210774_Regulation_of_Beta-Cell_Development
21410 210774_Regulation_of_Beta-Cell_Development
26424 210774_Regulation_of_Beta-Cell_Development
30942 210774_Regulation_of_Beta-Cell_Development
53626 210774_Regulation_of_Beta-Cell_Development
56458 210774_Regulation_of_Beta-Cell_Development
103988 210774_Regulation_of_Beta-Cell_Development
246086 210774_Regulation_of_Beta-Cell_Development
78514 211724_Regulation_of_PAK-2p34_activity_by_PS-GAP
12702 2586551_Signaling_by_Leptin
16367 2586551_Signaling_by_Leptin
16452 2586551_Signaling_by_Leptin
16846 2586551_Signaling_by_Leptin
16847 2586551_Signaling_by_Leptin
19247 2586551_Signaling_by_Leptin
20399 2586551_Signaling_by_Leptin
20848 2586551_Signaling_by_Leptin
20850 2586551_Signaling_by_Leptin
20851 2586551_Signaling_by_Leptin
384783 2586551_Signaling_by_Leptin
22143 389967_Formation_of_tubulin_folding_intermediates_by_CCT_TriC
22154 389967_Formation_of_tubulin_folding_intermediates_by_CCT_TriC
22143 392033_Cooperation_of_Prefoldin_and_TriC_CCT_in_actin_and_tubulin_folding
22154 392033_Cooperation_of_Prefoldin_and_TriC_CCT_in_actin_and_tubulin_folding
11770 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
12224 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
12537 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
12606 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
12608 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
13591 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
15183 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
17977 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
17978 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
19014 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
19016 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
19017 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
20181 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
20602 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
20933 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
23989 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
26896 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
28077 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
51813 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
56771 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
59024 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
66172 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
66213 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
67219 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
67224 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
67279 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
67381 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
68975 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
69790 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
69792 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
70208 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
70625 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
75613 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
76199 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
80509 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
94112 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
108098 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
192191 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
216154 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
229003 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
234959 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
264064 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
327987 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
328572 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
381379 442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes
11865 508751_Circadian_Clock
11998 508751_Circadian_Clock
12234 508751_Circadian_Clock
12753 508751_Circadian_Clock
12894 508751_Circadian_Clock
12952 508751_Circadian_Clock
12953 508751_Circadian_Clock
13170 508751_Circadian_Clock
14068 508751_Circadian_Clock
15183 508751_Circadian_Clock
18143 508751_Circadian_Clock
18626 508751_Circadian_Clock
18627 508751_Circadian_Clock
19013 508751_Circadian_Clock
19017 508751_Circadian_Clock
19883 508751_Circadian_Clock
20787 508751_Circadian_Clock
20893 508751_Circadian_Clock
22186 508751_Circadian_Clock
22187 508751_Circadian_Clock
22190 508751_Circadian_Clock
27373 508751_Circadian_Clock
50789 508751_Circadian_Clock
59027 508751_Circadian_Clock
78294 508751_Circadian_Clock
79362 508751_Circadian_Clock
104318 508751_Circadian_Clock
217166 508751_Circadian_Clock
328572 508751_Circadian_Clock
667035 508751_Circadian_Clock
11770 5334727_Mus_musculus_biological_processes
11865 5334727_Mus_musculus_biological_processes
11920 5334727_Mus_musculus_biological_processes
11998 5334727_Mus_musculus_biological_processes
12144 5334727_Mus_musculus_biological_processes
12189 5334727_Mus_musculus_biological_processes
12190 5334727_Mus_musculus_biological_processes
12224 5334727_Mus_musculus_biological_processes
12234 5334727_Mus_musculus_biological_processes
12537 5334727_Mus_musculus_biological_processes
12566 5334727_Mus_musculus_biological_processes
12567 5334727_Mus_musculus_biological_processes
12606 5334727_Mus_musculus_biological_processes
12608 5334727_Mus_musculus_biological_processes
12702 5334727_Mus_musculus_biological_processes
12753 5334727_Mus_musculus_biological_processes
12894 5334727_Mus_musculus_biological_processes
12952 5334727_Mus_musculus_biological_processes
12953 5334727_Mus_musculus_biological_processes
13006 5334727_Mus_musculus_biological_processes
13170 5334727_Mus_musculus_biological_processes
13404 5334727_Mus_musculus_biological_processes
13433 5334727_Mus_musculus_biological_processes
13436 5334727_Mus_musculus_biological_processes
13591 5334727_Mus_musculus_biological_processes
14068 5334727_Mus_musculus_biological_processes
15077 5334727_Mus_musculus_biological_processes
15078 5334727_Mus_musculus_biological_processes
15182 5334727_Mus_musculus_biological_processes
15183 5334727_Mus_musculus_biological_processes
15270 5334727_Mus_musculus_biological_processes
15512 5334727_Mus_musculus_biological_processes
16367 5334727_Mus_musculus_biological_processes
16452 5334727_Mus_musculus_biological_processes
16846 5334727_Mus_musculus_biological_processes
16847 5334727_Mus_musculus_biological_processes
16905 5334727_Mus_musculus_biological_processes
16906 5334727_Mus_musculus_biological_processes
17350 5334727_Mus_musculus_biological_processes
17687 5334727_Mus_musculus_biological_processes
17977 5334727_Mus_musculus_biological_processes
17978 5334727_Mus_musculus_biological_processes
18143 5334727_Mus_musculus_biological_processes
18626 5334727_Mus_musculus_biological_processes
18627 5334727_Mus_musculus_biological_processes
19013 5334727_Mus_musculus_biological_processes
19014 5334727_Mus_musculus_biological_processes
19016 5334727_Mus_musculus_biological_processes
19017 5334727_Mus_musculus_biological_processes
19247 5334727_Mus_musculus_biological_processes
19357 5334727_Mus_musculus_biological_processes
19361 5334727_Mus_musculus_biological_processes
19646 5334727_Mus_musculus_biological_processes
19883 5334727_Mus_musculus_biological_processes
19891 5334727_Mus_musculus_biological_processes
20016 5334727_Mus_musculus_biological_processes
20017 5334727_Mus_musculus_biological_processes
20018 5334727_Mus_musculus_biological_processes
20019 5334727_Mus_musculus_biological_processes
20181 5334727_Mus_musculus_biological_processes
20220 5334727_Mus_musculus_biological_processes
20399 5334727_Mus_musculus_biological_processes
20602 5334727_Mus_musculus_biological_processes
20787 5334727_Mus_musculus_biological_processes
20842 5334727_Mus_musculus_biological_processes
20843 5334727_Mus_musculus_biological_processes
20848 5334727_Mus_musculus_biological_processes
20850 5334727_Mus_musculus_biological_processes
20851 5334727_Mus_musculus_biological_processes
20893 5334727_Mus_musculus_biological_processes
20933 5334727_Mus_musculus_biological_processes
20957 5334727_Mus_musculus_biological_processes
20962 5334727_Mus_musculus_biological_processes
21749 5334727_Mus_musculus_biological_processes
21750 5334727_Mus_musculus_biological_processes
21975 5334727_Mus_musculus_biological_processes
22130 5334727_Mus_musculus_biological_processes
22186 5334727_Mus_musculus_biological_processes
22187 5334727_Mus_musculus_biological_processes
22190 5334727_Mus_musculus_biological_processes
22196 5334727_Mus_musculus_biological_processes
23856 5334727_Mus_musculus_biological_processes
23989 5334727_Mus_musculus_biological_processes
24061 5334727_Mus_musculus_biological_processes
26896 5334727_Mus_musculus_biological_processes
26972 5334727_Mus_musculus_biological_processes
27373 5334727_Mus_musculus_biological_processes
28077 5334727_Mus_musculus_biological_processes
28113 5334727_Mus_musculus_biological_processes
50789 5334727_Mus_musculus_biological_processes
50878 5334727_Mus_musculus_biological_processes
51813 5334727_Mus_musculus_biological_processes
55993 5334727_Mus_musculus_biological_processes
56739 5334727_Mus_musculus_biological_processes
56771 5334727_Mus_musculus_biological_processes
57321 5334727_Mus_musculus_biological_processes
59024 5334727_Mus_musculus_biological_processes
59027 5334727_Mus_musculus_biological_processes
60406 5334727_Mus_musculus_biological_processes
64009 5334727_Mus_musculus_biological_processes
64424 5334727_Mus_musculus_biological_processes
66136 5334727_Mus_musculus_biological_processes
66172 5334727_Mus_musculus_biological_processes
66213 5334727_Mus_musculus_biological_processes
66654 5334727_Mus_musculus_biological_processes
67219 5334727_Mus_musculus_biological_processes
67224 5334727_Mus_musculus_biological_processes
67279 5334727_Mus_musculus_biological_processes
67381 5334727_Mus_musculus_biological_processes
68240 5334727_Mus_musculus_biological_processes
68275 5334727_Mus_musculus_biological_processes
68975 5334727_Mus_musculus_biological_processes
69386 5334727_Mus_musculus_biological_processes
69790 5334727_Mus_musculus_biological_processes
69792 5334727_Mus_musculus_biological_processes
70208 5334727_Mus_musculus_biological_processes
70625 5334727_Mus_musculus_biological_processes
71846 5334727_Mus_musculus_biological_processes
74075 5334727_Mus_musculus_biological_processes
75613 5334727_Mus_musculus_biological_processes
76199 5334727_Mus_musculus_biological_processes
77053 5334727_Mus_musculus_biological_processes
78294 5334727_Mus_musculus_biological_processes
79362 5334727_Mus_musculus_biological_processes
80509 5334727_Mus_musculus_biological_processes
93762 5334727_Mus_musculus_biological_processes
94112 5334727_Mus_musculus_biological_processes
94244 5334727_Mus_musculus_biological_processes
97114 5334727_Mus_musculus_biological_processes
97122 5334727_Mus_musculus_biological_processes
97908 5334727_Mus_musculus_biological_processes
101185 5334727_Mus_musculus_biological_processes
104318 5334727_Mus_musculus_biological_processes
108098 5334727_Mus_musculus_biological_processes
116848 5334727_Mus_musculus_biological_processes
140557 5334727_Mus_musculus_biological_processes
192191 5334727_Mus_musculus_biological_processes
213389 5334727_Mus_musculus_biological_processes
216154 5334727_Mus_musculus_biological_processes
217166 5334727_Mus_musculus_biological_processes
217716 5334727_Mus_musculus_biological_processes
223697 5334727_Mus_musculus_biological_processes
229003 5334727_Mus_musculus_biological_processes
234959 5334727_Mus_musculus_biological_processes
245688 5334727_Mus_musculus_biological_processes
260423 5334727_Mus_musculus_biological_processes
264064 5334727_Mus_musculus_biological_processes
319148 5334727_Mus_musculus_biological_processes
319149 5334727_Mus_musculus_biological_processes
319150 5334727_Mus_musculus_biological_processes
319151 5334727_Mus_musculus_biological_processes
319152 5334727_Mus_musculus_biological_processes
319153 5334727_Mus_musculus_biological_processes
319154 5334727_Mus_musculus_biological_processes
319155 5334727_Mus_musculus_biological_processes
319156 5334727_Mus_musculus_biological_processes
319157 5334727_Mus_musculus_biological_processes
319158 5334727_Mus_musculus_biological_processes
319159 5334727_Mus_musculus_biological_processes
319160 5334727_Mus_musculus_biological_processes
319161 5334727_Mus_musculus_biological_processes
319565 5334727_Mus_musculus_biological_processes
320332 5334727_Mus_musculus_biological_processes
320558 5334727_Mus_musculus_biological_processes
326619 5334727_Mus_musculus_biological_processes
326620 5334727_Mus_musculus_biological_processes
327987 5334727_Mus_musculus_biological_processes
328572 5334727_Mus_musculus_biological_processes
360198 5334727_Mus_musculus_biological_processes
381379 5334727_Mus_musculus_biological_processes
384783 5334727_Mus_musculus_biological_processes
433759 5334727_Mus_musculus_biological_processes
497652 5334727_Mus_musculus_biological_processes
544973 5334727_Mus_musculus_biological_processes
625328 5334727_Mus_musculus_biological_processes
667035 5334727_Mus_musculus_biological_processes
667250 5334727_Mus_musculus_biological_processes
100041230 5334727_Mus_musculus_biological_processes
100041953 5334727_Mus_musculus_biological_processes
102641229 5334727_Mus_musculus_biological_processes
102641469 5334727_Mus_musculus_biological_processes
102641751 5334727_Mus_musculus_biological_processes
102642045 5334727_Mus_musculus_biological_processes
15183 5667092_Nr1d1_Rev-erba_represses_gene_expression
217166 5667092_Nr1d1_Rev-erba_represses_gene_expression
13433 573389_NoRC_negatively_regulates_rRNA_expression
13436 573389_NoRC_negatively_regulates_rRNA_expression
15077 573389_NoRC_negatively_regulates_rRNA_expression
15078 573389_NoRC_negatively_regulates_rRNA_expression
15182 573389_NoRC_negatively_regulates_rRNA_expression
19646 573389_NoRC_negatively_regulates_rRNA_expression
20016 573389_NoRC_negatively_regulates_rRNA_expression
20017 573389_NoRC_negatively_regulates_rRNA_expression
20018 573389_NoRC_negatively_regulates_rRNA_expression
20019 573389_NoRC_negatively_regulates_rRNA_expression
20220 573389_NoRC_negatively_regulates_rRNA_expression
22130 573389_NoRC_negatively_regulates_rRNA_expression
60406 573389_NoRC_negatively_regulates_rRNA_expression
64424 573389_NoRC_negatively_regulates_rRNA_expression
66136 573389_NoRC_negatively_regulates_rRNA_expression
69386 573389_NoRC_negatively_regulates_rRNA_expression
93762 573389_NoRC_negatively_regulates_rRNA_expression
97114 573389_NoRC_negatively_regulates_rRNA_expression
97122 573389_NoRC_negatively_regulates_rRNA_expression
97908 573389_NoRC_negatively_regulates_rRNA_expression
116848 573389_NoRC_negatively_regulates_rRNA_expression
245688 573389_NoRC_negatively_regulates_rRNA_expression
260423 573389_NoRC_negatively_regulates_rRNA_expression
319148 573389_NoRC_negatively_regulates_rRNA_expression
319149 573389_NoRC_negatively_regulates_rRNA_expression
319150 573389_NoRC_negatively_regulates_rRNA_expression
319151 573389_NoRC_negatively_regulates_rRNA_expression
319152 573389_NoRC_negatively_regulates_rRNA_expression
319153 573389_NoRC_negatively_regulates_rRNA_expression
319154 573389_NoRC_negatively_regulates_rRNA_expression
319155 573389_NoRC_negatively_regulates_rRNA_expression
319156 573389_NoRC_negatively_regulates_rRNA_expression
319157 573389_NoRC_negatively_regulates_rRNA_expression
319158 573389_NoRC_negatively_regulates_rRNA_expression
319159 573389_NoRC_negatively_regulates_rRNA_expression
319160 573389_NoRC_negatively_regulates_rRNA_expression
319161 573389_NoRC_negatively_regulates_rRNA_expression
320332 573389_NoRC_negatively_regulates_rRNA_expression
326619 573389_NoRC_negatively_regulates_rRNA_expression
326620 573389_NoRC_negatively_regulates_rRNA_expression
360198 573389_NoRC_negatively_regulates_rRNA_expression
433759 573389_NoRC_negatively_regulates_rRNA_expression
544973 573389_NoRC_negatively_regulates_rRNA_expression
625328 573389_NoRC_negatively_regulates_rRNA_expression
667250 573389_NoRC_negatively_regulates_rRNA_expression
100041230 573389_NoRC_negatively_regulates_rRNA_expression
100041953 573389_NoRC_negatively_regulates_rRNA_expression
102641229 573389_NoRC_negatively_regulates_rRNA_expression
102642045 573389_NoRC_negatively_regulates_rRNA_expression
18392 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
18393 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
26428 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
26429 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
50793 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
56452 5990975_Assembly_of_the_ORC_complex_at_the_origin_of_replication
16912 5990976_Assembly_of_the_pre-replicative_complex
16913 5990976_Assembly_of_the_pre-replicative_complex
17215 5990976_Assembly_of_the_pre-replicative_complex
17216 5990976_Assembly_of_the_pre-replicative_complex
17217 5990976_Assembly_of_the_pre-replicative_complex
17218 5990976_Assembly_of_the_pre-replicative_complex
17219 5990976_Assembly_of_the_pre-replicative_complex
